date,real,nominal
01/01/1946,19.79,1.17
01/02/1946,19.9,1.17
01/03/1946,19.68,1.17
01/04/1946,21.24,1.27
01/05/1946,21.13,1.27
01/06/1946,20.9,1.27
01/07/1946,19.74,1.27
01/08/1946,23.16,1.52
01/09/1946,22.93,1.52
01/10/1946,22.49,1.52
01/11/1946,21.96,1.52
01/12/1946,23.19,1.62
01/01/1947,23.19,1.62
01/02/1947,23.19,1.62
01/03/1947,22.77,1.62
01/04/1947,26.28,1.87
01/05/1947,26.28,1.87
01/06/1947,26.16,1.87
01/07/1947,25.93,1.87
01/08/1947,25.58,1.87
01/09/1947,25.02,1.87
01/10/1947,25.02,1.87
01/11/1947,27.58,2.07
01/12/1947,27.23,2.07
01/01/1948,33.38,2.57
01/02/1948,33.66,2.57
01/03/1948,33.8,2.57
01/04/1948,33.24,2.57
01/05/1948,33.1,2.57
01/06/1948,32.82,2.57
01/07/1948,32.42,2.57
01/08/1948,32.29,2.57
01/09/1948,32.29,2.57
01/10/1948,32.42,2.57
01/11/1948,32.69,2.57
01/12/1948,32.82,2.57
01/01/1949,32.96,2.57
01/02/1949,33.24,2.57
01/03/1949,33.24,2.57
01/04/1949,33.1,2.57
01/05/1949,33.24,2.57
01/06/1949,33.1,2.57
01/07/1949,33.38,2.57
01/08/1949,33.24,2.57
01/09/1949,33.1,2.57
01/10/1949,33.38,2.57
01/11/1949,33.24,2.57
01/12/1949,33.52,2.57
01/01/1950,33.66,2.57
01/02/1950,33.66,2.57
01/03/1950,33.52,2.57
01/04/1950,33.52,2.57
01/05/1950,33.38,2.57
01/06/1950,33.24,2.57
01/07/1950,32.82,2.57
01/08/1950,32.55,2.57
01/09/1950,32.42,2.57
01/10/1950,32.16,2.57
01/11/1950,32.02,2.57
01/12/1950,31.64,2.57
01/01/1951,31.14,2.57
01/02/1951,30.78,2.57
01/03/1951,30.66,2.57
01/04/1951,30.66,2.57
01/05/1951,30.54,2.57
01/06/1951,30.54,2.57
01/07/1951,30.54,2.57
01/08/1951,30.54,2.57
01/09/1951,30.31,2.57
01/10/1951,30.19,2.57
01/11/1951,29.96,2.57
01/12/1951,29.85,2.57
01/01/1952,29.85,2.57
01/02/1952,30.08,2.57
01/03/1952,30.08,2.57
01/04/1952,29.96,2.57
01/05/1952,29.96,2.57
01/06/1952,29.85,2.57
01/07/1952,29.63,2.57
01/08/1952,29.63,2.57
01/09/1952,29.63,2.57
01/10/1952,29.63,2.57
01/11/1952,29.63,2.57
01/12/1952,29.63,2.57
01/01/1953,29.74,2.57
01/02/1953,29.85,2.57
01/03/1953,29.74,2.57
01/04/1953,29.74,2.57
01/05/1953,29.63,2.57
01/06/1953,32.39,2.82
01/07/1953,32.39,2.82
01/08/1953,32.27,2.82
01/09/1953,32.27,2.82
01/10/1953,32.15,2.82
01/11/1953,32.27,2.82
01/12/1953,32.27,2.82
01/01/1954,32.27,2.82
01/02/1954,32.27,2.82
01/03/1954,32.27,2.82
01/04/1954,32.39,2.82
01/05/1954,32.27,2.82
01/06/1954,32.27,2.82
01/07/1954,32.27,2.82
01/08/1954,32.27,2.82
01/09/1954,32.39,2.82
01/10/1954,32.39,2.82
01/11/1954,32.39,2.82
01/12/1954,32.51,2.82
01/01/1955,32.51,2.82
01/02/1955,32.51,2.82
01/03/1955,32.51,2.82
01/04/1955,32.51,2.82
01/05/1955,32.51,2.82
01/06/1955,32.51,2.82
01/07/1955,32.39,2.82
01/08/1955,32.39,2.82
01/09/1955,32.27,2.82
01/10/1955,32.27,2.82
01/11/1955,32.27,2.82
01/12/1955,32.39,2.82
01/01/1956,32.39,2.82
01/02/1956,32.39,2.82
01/03/1956,32.39,2.82
01/04/1956,32.27,2.82
01/05/1956,32.15,2.82
01/06/1956,31.91,2.82
01/07/1956,31.68,2.82
01/08/1956,31.79,2.82
01/09/1956,31.68,2.82
01/10/1956,31.56,2.82
01/11/1956,31.56,2.82
01/12/1956,31.45,2.82
01/01/1957,31.45,2.82
01/02/1957,34.11,3.07
01/03/1957,33.99,3.07
01/04/1957,33.87,3.07
01/05/1957,33.75,3.07
01/06/1957,33.63,3.07
01/07/1957,33.39,3.07
01/08/1957,33.39,3.07
01/09/1957,33.39,3.07
01/10/1957,33.39,3.07
01/11/1957,33.27,3.07
01/12/1957,32.51,3
01/01/1958,33.04,3.07
01/02/1958,33.04,3.07
01/03/1958,32.81,3.07
01/04/1958,32.7,3.07
01/05/1958,32.7,3.07
01/06/1958,32.7,3.07
01/07/1958,32.58,3.07
01/08/1958,32.7,3.07
01/09/1958,32.7,3.07
01/10/1958,32.7,3.07
01/11/1958,31.84,3
01/12/1958,31.95,3
01/01/1959,31.84,3
01/02/1959,31.95,3
01/03/1959,31.63,2.97
01/04/1959,31.52,2.97
01/05/1959,31.52,2.97
01/06/1959,31.41,2.97
01/07/1959,31.31,2.97
01/08/1959,31.31,2.97
01/09/1959,31.2,2.97
01/10/1959,31.09,2.97
01/11/1959,31.09,2.97
01/12/1959,31.09,2.97
01/01/1960,31.2,2.97
01/02/1960,31.09,2.97
01/03/1960,31.09,2.97
01/04/1960,30.99,2.97
01/05/1960,30.99,2.97
01/06/1960,30.88,2.97
01/07/1960,30.88,2.97
01/08/1960,30.88,2.97
01/09/1960,30.88,2.97
01/10/1960,30.67,2.97
01/11/1960,30.67,2.97
01/12/1960,30.67,2.97
01/01/1961,30.67,2.97
01/02/1961,30.67,2.97
01/03/1961,30.67,2.97
01/04/1961,30.67,2.97
01/05/1961,30.67,2.97
01/06/1961,30.67,2.97
01/07/1961,30.47,2.97
01/08/1961,30.57,2.97
01/09/1961,30.47,2.97
01/10/1961,30.47,2.97
01/11/1961,30.47,2.97
01/12/1961,30.47,2.97
01/01/1962,30.47,2.97
01/02/1962,30.37,2.97
01/03/1962,30.37,2.97
01/04/1962,30.27,2.97
01/05/1962,30.27,2.97
01/06/1962,30.27,2.97
01/07/1962,30.17,2.97
01/08/1962,30.17,2.97
01/09/1962,30.07,2.97
01/10/1962,30.07,2.97
01/11/1962,30.07,2.97
01/12/1962,30.07,2.97
01/01/1963,30.07,2.97
01/02/1963,30.07,2.97
01/03/1963,29.97,2.97
01/04/1963,29.97,2.97
01/05/1963,29.97,2.97
01/06/1963,29.87,2.97
01/07/1963,29.78,2.97
01/08/1963,29.78,2.97
01/09/1963,29.78,2.97
01/10/1963,29.68,2.97
01/11/1963,29.68,2.97
01/12/1963,29.58,2.97
01/01/1964,29.58,2.97
01/02/1964,29.58,2.97
01/03/1964,29.58,2.97
01/04/1964,29.58,2.97
01/05/1964,29.58,2.97
01/06/1964,29.49,2.97
01/07/1964,28.9,2.92
01/08/1964,28.99,2.92
01/09/1964,28.9,2.92
01/10/1964,28.9,2.92
01/11/1964,28.81,2.92
01/12/1964,28.81,2.92
01/01/1965,28.81,2.92
01/02/1965,28.81,2.92
01/03/1965,28.72,2.92
01/04/1965,28.62,2.92
01/05/1965,28.62,2.92
01/06/1965,28.44,2.92
01/07/1965,28.44,2.92
01/08/1965,28.44,2.92
01/09/1965,28.44,2.92
01/10/1965,28.35,2.92
01/11/1965,28.35,2.92
01/12/1965,28.26,2.92
01/01/1966,28.26,2.92
01/02/1966,28.08,2.92
01/03/1966,28,2.92
01/04/1966,27.82,2.92
01/05/1966,27.82,2.92
01/06/1966,27.74,2.92
01/07/1966,27.65,2.92
01/08/1966,27.49,2.92
01/09/1966,27.96,2.97
01/10/1966,27.78,2.97
01/11/1966,27.78,2.97
01/12/1966,27.78,2.97
01/01/1967,27.78,2.97
01/02/1967,28.07,3
01/03/1967,27.98,3
01/04/1967,27.9,3
01/05/1967,27.81,3
01/06/1967,27.73,3
01/07/1967,27.65,3
01/08/1967,28.21,3.07
01/09/1967,28.12,3.07
01/10/1967,28.04,3.07
01/11/1967,27.96,3.07
01/12/1967,27.87,3.07
01/01/1968,27.71,3.07
01/02/1968,27.63,3.07
01/03/1968,27.55,3.07
01/04/1968,27.47,3.07
01/05/1968,27.39,3.07
01/06/1968,27.23,3.07
01/07/1968,27.07,3.07
01/08/1968,27,3.07
01/09/1968,26.92,3.07
01/10/1968,26.77,3.07
01/11/1968,26.69,3.07
01/12/1968,26.62,3.07
01/01/1969,26.54,3.07
01/02/1969,26.39,3.07
01/03/1969,27.71,3.25
01/04/1969,28.4,3.35
01/05/1969,28.33,3.35
01/06/1969,28.17,3.35
01/07/1969,28.02,3.35
01/08/1969,27.87,3.35
01/09/1969,27.79,3.35
01/10/1969,27.64,3.35
01/11/1969,27.5,3.35
01/12/1969,27.35,3.35
01/01/1970,27.28,3.35
01/02/1970,27.14,3.35
01/03/1970,26.99,3.35
01/04/1970,26.78,3.35
01/05/1970,26.71,3.35
01/06/1970,26.58,3.35
01/07/1970,26.12,3.31
01/08/1970,26.12,3.31
01/09/1970,25.99,3.31
01/10/1970,25.86,3.31
01/11/1970,25.73,3.31
01/12/1970,27.53,3.56
01/01/1971,27.53,3.56
01/02/1971,27.46,3.56
01/03/1971,27.39,3.56
01/04/1971,27.33,3.56
01/05/1971,27.19,3.56
01/06/1971,26.99,3.56
01/07/1971,26.92,3.56
01/08/1971,26.86,3.56
01/09/1971,26.86,3.56
01/10/1971,26.79,3.56
01/11/1971,26.79,3.56
01/12/1971,26.66,3.56
01/01/1972,26.66,3.56
01/02/1972,26.53,3.56
01/03/1972,26.47,3.56
01/04/1972,26.4,3.56
01/05/1972,26.34,3.56
01/06/1972,26.28,3.56
01/07/1972,26.15,3.56
01/08/1972,26.09,3.56
01/09/1972,26.03,3.56
01/10/1972,25.9,3.56
01/11/1972,25.84,3.56
01/12/1972,25.78,3.56
01/01/1973,25.72,3.56
01/02/1973,25.54,3.56
01/03/1973,25.3,3.56
01/04/1973,25.13,3.56
01/05/1973,24.96,3.56
01/06/1973,24.79,3.56
01/07/1973,24.73,3.56
01/08/1973,29.42,4.31
01/09/1973,29.35,4.31
01/10/1973,29.09,4.31
01/11/1973,28.9,4.31
01/12/1973,28.71,4.31
01/01/1974,66.78,10.11
01/02/1974,65.93,10.11
01/03/1974,65.1,10.11
01/04/1974,64.83,10.11
01/05/1974,64.03,10.11
01/06/1974,63.5,10.11
01/07/1974,63,10.11
01/08/1974,62.24,10.11
01/09/1974,61.5,10.11
01/10/1974,67.22,11.16
01/11/1974,66.69,11.16
01/12/1974,66.18,11.16
01/01/1975,65.93,11.16
01/02/1975,65.43,11.16
01/03/1975,65.17,11.16
01/04/1975,64.93,11.16
01/05/1975,64.57,11.16
01/06/1975,64.08,11.16
01/07/1975,63.38,11.16
01/08/1975,63.25,11.16
01/09/1975,62.91,11.16
01/10/1975,62.56,11.16
01/11/1975,62.12,11.16
01/12/1975,61.89,11.16
01/01/1976,61.78,11.16
01/02/1976,66.36,12.03
01/03/1976,66.62,12.1
01/04/1976,66.76,12.17
01/05/1976,66.3,12.17
01/06/1976,65.95,12.17
01/07/1976,65.6,12.17
01/08/1976,65.26,12.17
